0	63	0	0	0	0	0				
2	FF	FF	FF	FF	FF	FF	FF	FF		
3	93	5	80	E0	50	FC	C			
6	0	22	14	3C	1E	2	58			
10	43	1	19	71	E3	E0	2A	3		
11	FF	1F	0	B	8C	41	11	0		
12	0	20	2	40	0	0				
13	88	0	0	5F	46					
14	17	7A	FF	FF	D	AC	FF			
15	47	7B	5	FF	0	0			x	
15	48	7B	5	FF	0	0			x	
15	47	7A	5	FF	0	0			x	
15	47	79	5	FF	0	0			x	
110	97	7E	26	80	83	0	55	0		
159	0	FF	FF	FF	1	FF	0	0		
210	3	0								
394	67	3	AA	0	0	0			x	RADIO_CTRLS
394	7	3	AB	0	0	0			x	RADIO_CTRLS
394	7	3	AC	0	0	0			x	RADIO_CTRLS
394	7	3	AD	0	0	0			x	RADIO_CTRLS
394	7	3	AE	0	0	0			x	RADIO_CTRLS
394	17	4	2B	0	0	0			x	RADIO_CTRLS
394	17	0	99	0	0	0			x	RADIO_CTRLS
394	17	40	99	0	0	0			x	RADIO_CTRLS
394	17	2	13	0	0	0			x	RADIO_CTRLS
394	7	4	2C	0	0	0			x	RADIO_CTRLS
394	7	4	2D	0	0	0			x	RADIO_CTRLS
394	7	4	2E	0	0	0			x	RADIO_CTRLS
394	7	4	2F	0	0	0			x	RADIO_CTRLS
394	7	4	2A	0	0	0			x	RADIO_CTRLS
394	7	4	29	0	0	0			x	RADIO_CTRLS
394	7	4	28	0	0	0			x	RADIO_CTRLS
394	7	4	27	0	0	0			x	RADIO_CTRLS
400	FD	2	3F	FF	FF	FF	FF	FF		
402	FD	8	3F	FF	FF	FF	FF	FF		
408	FD	A	BF	FF	FF	FF	FF	FF		
411	FD	14	BF	FF	FF	FF	FF	FF		
414	FD	15	3F	FF	FF	FF	FF	FF		
415	FD	16	3F	FF	FF	FF	FF	FF		
416	FD	1B	3F	FF	FF	FF	FF	FF		
421	FD	3E	BF	FF	FF	FF	FF	FF		
11D	0	1	0							
1A2	0	FA	0	0	0	0				
1A5	3F	0	FF	FF	FF					
1A7	FF	FF	0	3	0	0				
1AA	1									
1AB	3	0	0	0	0	0				
1AC	4									
1AD	3	42	42	4	0	0				
1AE	0	F0	0	0	0	0				
1AF	3	A7	0	E0	95	BD	8	0		
1B	3	31	4A	38	48	43	45	38		
1B0	E	92	3	E8	A	A0	8	D9		
1B2	0	7	0	0	0	0				
1B3	0	0	0	0	0	0				
1B4	5	70	7	0	0	0				
1B5	1F	D	17	D1	0	0				
1B6	20	3	29	4	29	0	20		x	
1B6	20	1	2B	2	28	0	20		x	
1B8	0									
1BB	0	0	0	0	0	0				
1C8	0									
1F8	0									
2C	FF	FF	FF	FF	3	FF	FF			
2C0	FF	FF	FF	FF	FF	FF	FF	4C		
2E	1F	0	0							
3A0	0	0							x	Trol rattknapp 
3A0	8	0							x	Trol rattknapp 
3A0	10	0							x	Trol rattknapp 
3A0	20	0							x	Trol rattknapp 
3A0	2	0							x	Trol rattknapp 
3A0	1	0							x	Trol rattknapp 
3A0	4	0							x	Trol rattknapp 
3D0	0	A	A	A	A	A	FF		x	
3D0	1	A	A	A	A	A	FF		x	
3F1	41	1								
3F1	41	0								
3F8	6	38	0	FF	7B	0			x	
3F8	6	38							x	
40A	FD	C	BF	FF	FF	FF	FF	FF		
40C	FD	11	BF	FF	FF	FF	FF	FF		
41B	FD	1E	BF	FF	FF	FF	FF	FF		
41E	FD	21	BF	FF	FF	FF	FF	FF		
43E	FD	0	BF	FF	FF	FF	FF	FF		
9C	0	0								
9F	61	13	AA	1	FF	FF	FF	1F	x	Radio mode
9F	1	13	AB	1	FF	FF	FF	1F	x	Radio mode
9F	1	13	AC	1	FF	FF	FF	1F	x	Radio mode
9F	1	13	AD	1	FF	FF	FF	1F	x	Radio mode
9F	1	13	AE	1	FF	FF	FF	1F	x	Radio mode
9F	11	14	2B	1	FF	FF	FF	1F	x	Radio mode
